x;label
0.0;10.0
0.1;10.5
0.2;11.0
0.3;11.5
0.4;12.0
0.5;12.5
0.6;13.0
0.7;13.5
0.8;14.0
0.9;14.5
1.0;15.0
1.1;15.5
1.2;16.0
1.3;16.5
1.4;17.0
1.5;17.5
1.6;18.0
1.7;18.5
1.8;19.0
1.9;19.5
2.0;20.0
2.1;20.5
2.2;21.0
2.3;21.5
2.4;22.0
2.5;22.5
2.6;23.0
2.7;23.5
2.8;24.0
2.9;24.5
3.0;25.0
3.1;25.5
3.2;26.0
3.3;26.5
3.4;27.0
3.5;27.5
3.6;28.0
3.7;28.5
3.8;29.0
3.9;29.5
4.0;30.0
4.1;30.5
4.2;31.0
4.3;31.5
4.4;32.0
4.5;32.5
4.6;33.0
4.7;33.5
4.8;34.0
4.9;34.5
5.0;35.0
5.1;35.5
5.2;36.0
5.3;36.5
5.4;37.0
5.5;37.5
5.6;38.0
5.7;38.5
5.8;39.0
5.9;39.5
6.0;40.0
6.1;40.5
6.2;41.0
6.3;41.5
6.4;42.0
6.5;42.5
6.6;43.0
6.7;43.5
6.8;44.0
6.9;44.5
7.0;45.0
7.1;45.5
7.2;46.0
7.3;46.5
7.4;47.0
7.5;47.5
7.6;48.0
7.7;48.5
7.8;49.0
7.9;49.5
8.0;50.0
8.1;50.5
8.2;51.0
8.3;51.5
8.4;52.0
8.5;52.5
8.6;53.0
8.7;53.5
8.8;54.0
8.9;54.5
9.0;55.0
9.1;55.5
9.2;56.0
9.3;56.5
9.4;57.0
9.5;57.5
9.6;58.0
9.7;58.5
9.8;59.0
9.9;59.5
